test set,batch size,dataset size,image size,Class 0 accuracy (+),Class 1 accuracy (-),mean accuracy,augmentation,,,
part whole test,4,10000,336,1,0,0.5,resize_relocate,,,
learning test,4,10000,336,1,1,1,resize_relocate,,,
global test,4,10000,336,0.0014,0,0.0007,resize_relocate,,,
composite test,4,10000,336,1,0.0263,0.5131,resize_relocate,,,
,,,,,,,,,,
part whole test,2,10000,224,1,0,0.5,resize_relocate,,,
learning test,2,10000,224,1,1,1,resize_relocate,,,
global test,2,10000,224,1,0.9983,0.9992,resize_relocate,,,
composite test,2,10000,224,1,0.2722,0.6361,resize_relocate,,,
,,,,,,,,,,
part whole test,4,10000,224,1,0,0.5,resize_relocate,,,
learning test,4,10000,224,1,1,1,resize_relocate,,,
global test,4,10000,224,0.4301,0.9978,0.7139,resize_relocate,,,
composite test,4,10000,224,1,0.8001,0.9001,resize_relocate,,,
part whole flip test,4,10000,224,0,1,0.5,resize_relocate,,,
,,,,,,,,,,part whole flip test
part whole test,8,10000,224,1,0,0.5,resize_relocate,,,different batches
learning test,8,10000,224,1,1,1,resize_relocate,,,
global test,8,10000,224,0.9934,0,0.4967,resize_relocate,,,
composite test,8,10000,224,1,0.1938,0.5969,resize_relocate,,,
,,,,,,,,,,
part whole test,64,10000,224,1,0,0.5,resize_relocate,,,
learning test,64,10000,224,1,1,1,resize_relocate,,,
global test,64,10000,224,0.9702,0.0017,0.4869,resize_relocate,,,
composite test,64,10000,224,1,0.1938,0.5969,resize_relocate,,,
,,,,,,,,,,
part whole test,2,10000,112,1,0,0.5,resize_relocate,,,
learning test,2,10000,112,1,1,1,resize_relocate,,,
global test,2,10000,112,1,0.9952,0.9976,resize_relocate,,,
composite test,2,10000,112,1,1,1,resize_relocate,,,
,,,,,,,,,,
part whole test,4,10000,84,1,0,0.5,resize_relocate,,,
learning test,4,10000,84,1,1,1,resize_relocate,,,
global test,4,10000,84,1,0.9999,1,resize_relocate,,,
composite test,4,10000,84,1,1,1,resize_relocate,,,
,,,,,,,,,,
part whole test,2,10000,56,1,0.9518,0.9759,resize_relocate,,,
learning test,2,10000,56,1,1,1,resize_relocate,,,
global test,2,10000,56,1,1,1,resize_relocate,,,
composite test,2,10000,56,1,1,1,resize_relocate,,,
,,,,,,,,,,
part whole test,4,10000,56,1,0.8024,0.9012,resize_relocate,,,
learning test,4,10000,56,1,1,1,resize_relocate,,,
global test,4,10000,56,1,1,1,resize_relocate,,,
composite test,4,10000,56,1,1,1,resize_relocate,,,
,,,,,,,,,,
part whole test,2,10000,28,0.5184,0.5291,0.5238,resize_relocate,,,
learning test,2,10000,28,0.5037,0.725,0.6144,resize_relocate,,,
global test,2,10000,28,0.5003,0.626,0.5632,resize_relocate,,,
composite test,2,10000,28,0.6427,0.6591,0.6509,resize_relocate,,,
,,,,,,,,,,
part whole test,4,10000,28,1,1,1,resize_relocate,,,
learning test,4,10000,28,1,1,1,resize_relocate,,,
global test,4,10000,28,1,1,1,resize_relocate,,,
composite test,4,10000,28,1,1,1,resize_relocate,,,
,,,,,,,,,,
part whole test,4,10000,14,1,0.8132,0.9066,resize_relocate,,,
learning test,4,10000,14,1,0.9784,0.9892,resize_relocate,,,
global test,4,10000,14,1,0.9734,0.9867,resize_relocate,,,
composite test,4,10000,14,1,0.9066,0.9533,resize_relocate,,,
test set,batch size,dataset size,image size,Class 0 accuracy (+),Class 1 accuracy (-),mean accuracy,augmentation,,,
part whole test,4,10000,7,1,0.1809,0.5904,resize_relocate,,,
learning test,4,10000,7,1,0.8514,0.9257,resize_relocate,,,
global test,4,10000,7,0.8304,0.6021,0.7163,resize_relocate,,,
composite test,4,10000,7,1,0.3524,0.6762,resize_relocate,,,
